store_name,tag,location,website,num_reviews,average_reviews,features,region,phone_number,price_range
Carbone,"Glam Italian eatery with retro feel, High-end takes on red-sauce fare await at this A-lister Italian restaurant in a retro-glam space.","181 Thompson St, New York, NY 10012, United States",carbonenewyork.com,"1,241 reviews",4.4,"Italian restaurant, American restaurant, Restaurant",Manhattan,,Expensive
Crown Shy,"New American eatery in landmark tower, Polished, new American restaurant with global influences inside spacious room with high ceilings.","70 Pine Street Ground Floor, New York, NY 10005, United States",crownshy.nyc,753 reviews,4.6,"American restaurant, Cocktail bar",Manhattan,+1 212-517-1932,Expensive
Sea Fire Grill,"High-end surf 'n' turf restaurant, Upmarket American seafood & raw-bar offerings in a swanky, spacious dining room with a fireplace.","158 E 48th St Between 3rd and, Lexington Ave, New York, NY 10017, United States",theseafiregrill.com,"1,216 reviews",4.7,Seafood restaurant,Manhattan,+1 212-935-3785,Very expensive
Manhatta,"Upscale New American meals on 60th floor, Set on the 60th floor, this ritzy, high-end restaurant features New American cuisine & city views.","28 Liberty St 60th floor, New York, NY 10005, United States",manhattarestaurant.com,"1,075 reviews",4.7,"Fine dining restaurant, Bar, Cocktail bar, Event venue, New American restaurant, Restaurant, Wine bar",Manhattan,+1 212-230-5788,
Nobu Fifty Seven,"Upscale Japanese-Peruvian restaurant, Sleek Japanese-Peruvian spot from Nobu Matsuhisa frequented by business types & celebs.","40 W 57th St, New York, NY 10019, United States",noburestaurants.com,"1,781 reviews",4.4,"Japanese restaurant, Bar",Manhattan,+1 212-757-3000,Very expensive
Boqueria Soho,"Buzzy Barcelona-style tapas bar, Creative Barcelona-style tapas made with market-fresh ingredients in a warm, modern space.","171 Spring St, New York, NY 10012, United States",boqueriarestaurant.com,"1,664 reviews",4.4,"Spanish restaurant, Delivery service, Event venue, Tapas bar, Tapas restaurant, Wine bar",Manhattan,+1 212-343-4255,Moderately expensive
Patsy's,"Storied Neapolitan restaurant, Vintage Neapolitan eatery near Carnegie Hall with a history of entertaining high-profile patrons.","236 W 56th St, New York, NY 10019, United States",patsys.com,"1,521 reviews",4.3,Italian restaurant,Manhattan,+1 212-247-3491,Expensive
Via Brasil Restaurant,"Brazilian grilled meat & drinks mainstay, Longtime Brazilian restaurant serving up grilled meats, stews & strong drinks in a simple setting.","34 W 46th St, New York, NY 10036, United States",viabrasilrestaurant.com,886 reviews,4.4,"Brazilian restaurant, Bar, Steak house",Manhattan,+1 212-997-1158,Moderately expensive
La Mercerie,"Modern French food & retail furnishings, Contemporary French eatery, pastry counter & home decor showcase inside Roman and Williams Guild.","53 Howard St, New York, NY 10013, United States",lamercerieny.com,824 reviews,4.2,"French restaurant, Breakfast restaurant, Cafe, Cocktail bar, Event venue, Family restaurant, Takeout restaurant, Modern French restaurant, Restaurant, Wine bar",Manhattan,+1 212-852-9097,Expensive
Max Brenner New York,"Retailer/eatery for chocolate & gifts, Retailer offering chocolate & related novelties, including seasonal & special-occasion gifts.","841 Broadway, New York, NY 10003, United States",maxbrenner.com,"5,366 reviews",4.3,"Restaurant, Chocolate shop",Manhattan,+1 646-467-8803,Moderately expensive
Jungsik,"Upscale Korean spot with modern decor, Innovative, high-end Korean fare served in elegant, contemporary digs with an extensive wine list.","2 Harrison St, New York, NY 10013, United States",jungsik.com,567 reviews,4.7,"Korean restaurant, Restaurant",Manhattan,+1 212-219-0900,Very expensive
Gemma,"Hip & rustic Italian eatery in a hotel, Stylish Bowery Hotel eatery serving up Italian fare & drinks, plus outdoor seating.","335 Bowery, New York, NY 10003, United States",theboweryhotel.com,732 reviews,4.3,Italian restaurant,Manhattan,+1 212-505-7300,Moderately expensive
Rubirosa,"Hip neighborhood Italian restaurant, Neighborhood Italian spot serving reinvented Italian-American classics & pizzas in a dark space.","235 Mulberry St, New York, NY 10012, United States",rubirosanyc.com,"3,123 reviews",4.6,"Italian restaurant, Pasta shop, Pizza restaurant, Pizza takeaway",Manhattan,+1 212-965-0500,Moderately expensive
The Leopard at des Artistes,"Upscale Italian dining in historic space, A well-heeled crowd enjoys updated Southern Italian fare in a space decorated with historic murals.","1 W 67th St, New York, NY 10023, United States",theleopardnyc.com,277 reviews,4.4,"Italian restaurant, Fine dining restaurant, Restaurant",Manhattan,+1 212-787-8767,Very expensive
RH Rooftop Restaurant New York,"Posh American bistro with city views, Glamorous rooftop restaurant offering American fare amid chandeliers, greenery & skyline views.","9 9th Ave, New York, NY 10014, United States",rh.com,944 reviews,4.5,"American restaurant, Restaurant",Manhattan,+1 212-217-2210,
Caviar Russe,"High-end New American/caviar restaurant, High-end New American restaurant/caviar specialist in a luxurious Madison Avenue setting.","538 Madison Ave, New York, NY 10022, United States",caviarrusse.com,157 reviews,4.4,"New American restaurant, Cocktail bar, Gourmet grocery store, Restaurant",Manhattan,+1 212-980-5908,Very expensive
The Musket Room,"New Zealand fare with modern flair, Modern takes on homestyle New Zealand cooking served in rustic-chic environs with a backyard garden.","265 Elizabeth St, New York, NY 10012, United States",themusketroom.com,572 reviews,4.5,"New American restaurant, Fine dining restaurant, Garden",Manhattan,+1 212-219-0764,Very expensive
Kuu Ramen,"Hip, compact Japanese noodle joint, Classic Japanese noodle soups & donburi served in a snug space with low lighting & concrete walls.","20 John St, New York, NY 10038, United States",kuuramen.com,"1,244 reviews",4.3,"Ramen restaurant, Asian restaurant, Restaurant",Manhattan,+1 212-571-7177,Moderately expensive
The Lobster Club,"Luxe spot for sushi and teppanyaki, High-end Japanese locale serving sushi & teppanyaki dishes in a sophisticated, lounge-style setting.","98 E 53rd St, New York, NY 10022, United States",thelobsterclub.com,196 reviews,4.5,Japanese restaurant,Manhattan,+1 212-254-3000,Very expensive
Casa Dani,,"448 W 33rd St, New York, NY 10001, United States",casadanirestaurant.com,96 reviews,4.2,"Spanish restaurant, Fine dining restaurant, Mediterranean restaurant",Manhattan,+1 212-785-0352,
LAVO Italian Restaurant,"Italian eatery with a downstairs club, Upscale, industrial-chic Italian eatery with a downstairs nightclub featuring DJs & bottle service.","39 E 58th St, New York, NY 10022, United States",taogroup.com,"1,610 reviews",4.1,Italian restaurant,Manhattan,+1 212-750-5588,Expensive
O'Hara's,"Classic Irish pub near 9-11 Memorial, Both locals & visitors come for cold pints plus burgers, wings & bar food in a neighborhood spot.","120 Cedar St, New York, NY 10006, United States",facebook.com,"3,509 reviews",4.6,"Irish restaurant, American restaurant, Bar, European restaurant, Irish pub",Manhattan,+1 212-267-3032,Moderately expensive
Friedman's Herald Square,"Modern venue for seasonal American food, Contemporary spot specializing in seasonal, locally sourced & mostly gluten-free comfort classics.","132 W 31st St, New York, NY 10001, United States",friedmansrestaurant.com,"2,675 reviews",4.3,"American restaurant, Breakfast restaurant, Brunch restaurant, Gluten-free restaurant, Hamburger restaurant, Lunch restaurant, Takeout restaurant, Vegetarian restaurant",Manhattan,+1 212-971-9400,Moderately expensive
Soothr,"Cozy restaurant serving Thai fare, Intimate space with al fresco dining offering Thai noodles & soups, plus cocktails.","204 E 13th St, New York, NY 10003, United States",soothrnyc.com,783 reviews,4.6,"Thai restaurant, Noodle shop",Manhattan,+1 212-844-9789,Moderately expensive
Harry's New York Bar,"Refined hotel bar for cocktails & snacks, Warm, sophisticated haunt in the Park Lane Hotel offering classic cocktails & elevated bar fare.","36 Central Park S, New York, NY 10019, United States",parklanenewyork.com,66 reviews,3.4,"Fine dining restaurant, Bar, Restaurant",Manhattan,+1 212-521-6200,
